시도,시군구,지역화폐명,site,content,,,소관기관,신청방법: 구비서류,접수/문의: 접수기관,주요내용: 접수기관,주요내용: 지원형태,지원내용: 지원내용,지원대상: 중복혜택 안돼요,지원대상: 지원대상,신청기간,신청방법,문의처
경기,안성,안성사랑카드,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/408000000536?administOrgCd=,"소비자에게 할인 및 소득공제 혜택, 가맹점에 홍보효과 등의 혜택 제공",,,경기도 안성시,정보 없음,안성시 소재의 농협중앙회 또는 신협,안성시 소재의 농협중앙회 또는 신협,이용권,"○ 소비자 : 지역화폐 구입시 6%~10% 할인, 연말정산 시 소득공제 30%    ○ 가맹점 : 홍보효과, 가맹점 매출증대",정보 없음,○ 만 14세 이상이면 누구든지 발급 가능,상시신청,"○ 온라인 신청  1. 스마트폰에서 경기지역화폐앱을 다운로드 한 후, 회원가입 진행  2. 절차에 따라 '카드신청' 및 '개인정보 등록'    ○ 방문 신청   - 기타 : 온라인 신청 또는 안성시 소재의 농협중앙회 또는 신협",일자리경제과 (☎031-678-2435)
경기,의왕,의왕사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/403000000121?administOrgCd=,"소비자에게 할인 및 소득공제 혜택, 가맹점에 수수료 절감 혜택 등 제공",,,경기도 의왕시,정보 없음,"지역농협, 신협, 새마을금고","지역농협, 신협, 새마을금고",이용권,"○ 소비자   - 충전 시 6% 할인, 연말정산 시 소득공제 30% 혜택   ※ 할인혜택은 변동될 수 있음    ○ 가맹점 - 카드가맹점 수수료 절감, 홍보효과, 가맹점 매출증대",정보 없음,"○ 종이형 : 거주지역 상관없이 누구나 구입 가능(단, 미성년자의 경우 법정대리인 대리구매 가능)    ○ 카드형 : 만 14세 이상이면 누구든지 발급 가능",상시신청,"○ 온라인 신청 - 스마트폰에서 경기지역화폐 앱을 다운로드 한 후, 회원가입 진행   - 절차에 따라 '카드신청' 및 '개인정보 등록'    ○ 오프라인   - 종이형 상품권 : 관내 농협 13개소   - 카드형 상품권 : 관내 농협중앙회 5개소, 의왕신협 4개소, 의왕새마을금고 5개소 ○ 방문 신청 - 기타 : 관내 농협, 신협, 새마을금고",지역경제위생과 (☎031-345-2354)
경북,의성,의성사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/515000000120?administOrgCd=,"소비자에게 할인 및 소득공제 혜택, 가맹점에 수수료 절감 혜택 등 제공",,,경상북도 의성군,정보 없음,"지역농협, 축협, 산림조합, 새마을금고, 신협","지역농협, 축협, 산림조합, 새마을금고, 신협",이용권,"○ 소비자   - 구입 충전 시 10% 할인, 연말정산 시 소득공제    ○ 가맹점   - 카드가맹점 수수료 절감, 홍보효과, 가맹점 매출증대",정보 없음,○ 만 14세 이상이면 누구든지 발급 가능,상시신청,"○ 온라인 신청 1. 스마트앱에서 '지역화폐 그리고' 앱을 다운로드한 후, 회원가입 진행  2. 절차에 따라 '카드신청', '개인정보 등록' 및 금액 충전 후 사용    ○ 방문 신청   - 기타 : 의성군 소재 농협, 축협, 산림조합, 새마을금고, 신협을 방문하여 상품권 구매 신청",경제투자과 (☎054-830-6234)
서울,송파,송파사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/323000000112?administOrgCd=,송파사랑상품권 구매자에게 할인 판매 지원,,,서울특별시 송파구,정보 없음,온라인신청,정보 없음,이용권,○ 송파구 내에서 소비 가능한 모바일상품권 할인 판매,정보 없음,○ 전 국민(제한없음),접수기관 별 상이,○ 온라인 신청 - 상품권 구매가능한 앱설치 후 결제,경제진흥과 (☎02-2147-2506)
전남,목포,목포사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/480000000112?administOrgCd=,"소비자에게 할인 및 소득공제 혜택, 가맹점에는 매출증대 등 지원",,,전라남도 목포시,정보 없음,"지류형 : 55개 판매대행점(농협, 광주은행, 신협, 수협, 새마을금고) 카드형 : 광주은행,주민센터","지류형 : 55개 판매대행점(농협, 광주은행, 신협, 수협, 새마을금고) 카드형 : 광주은행,주민센터",이용권,"종 류 : 2종(1만원권, 5만원권)  판 매 처 : 관내 농협, 광주은행, 새마을금고, 신협  구매한도   - 개인당 월50만원(지류+모바일 20만원, 카드 30만원)   - 법인 반기별 1,000만원  구 매 : 민법상 성년이고 신분증 지참하면 누구나 구매 가능 (다만, 가맹점주는 구입 불가)  사 용 처 : 목포사랑상품권 가맹점 (가맹점 스티커 부착, 목포시청 홈페이지에서 확인 가능)  잔액환불 : 사용자가 현장에서 권면금액 70% 이상 사용 시 잔액 환불 가능  구매자 할인 : 평시 7%, 법인구매 할인율 미적용  가맹점 : 상품권을 받을 경우 카드수수료 절감으로 매출향상",정보 없음,○ 상품권 구매 시민 전체,상시신청,"<구매처>  ○ 방문 신청   - 기타 : ? 지류형 : 55개 판매대행점(농협, 광주은행, 신협, 수협, 새마을금고) ? 카드형 : 광주은행    <가맹점 가입> ○ 방문 신청 - 주민센터 : 주민센터 방문 신청",지역경제과 (☎061-270-8785)
경북,영주,영주사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/509000000116?administOrgCd=,"소비자에게 할인 혜택, 가맹점에는 매출 증대 등 지원",,,경상북도 영주시,정보 없음,"NH농협은행,지역농축협, 신협, 새마을금고, 대구은행, 우체국 등",정보 없음,이용권,"○ 소비자   - 구입 충전 시 5~10%할인, 연말정산 시 소득공제    ○ 가맹점 - 카드가맹점 수수료 절감, 홍보효과, 가맹점 매출증대",정보 없음,○ (소비자) 만 19세 이상이면 누구든지 구매 가능    ○ (가맹점) 영주시 소재 사업자,상시신청,"○ 모바일 신청 1. 스마트폰에서 지역사랑상품권 chak앱을 다운로드 한 후, 회원가입 진행 2. 절차에 따라 ‘카드신청’ 및 ‘개인정보 등록’    ○ 방문 신청   - 기타 : 신분증, 본인명의 스마트폰 지참하여 영주시 소재 NH농협은행,지역농축협,신협,새마을금고,대구은행,우체국 방문하여 구매",영주시청 일자리경제과 (☎054-639-6105)
경북,상주,상주화폐,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/511000000132?administOrgCd=,상주화폐 구매자에게 할인 혜택 지원,,,경상북도 상주시,정보 없음,상주화폐 판매대행점,상주화폐 판매대행점,이용권,"○ 상주화폐(지류형, 카드형) 할인판매   - 평상시 6% 이벤트시 10%   - 지류 개인 월 50만원 연 600만원 / 카드 개인 월 70만원 연 840만원",정보 없음,"○ 상주화폐 구매자(지류형 : 만19세 이상, 카드형 : 만14세 이상)",상시신청,○ 온라인 신청   - 상주화폐 어플    ○ 방문 신청   - 기타 : 상주화폐 판매대행점,상주시청 투자경제과 (☎054-537-7409)
서울,마포,마포사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/313000000113?administOrgCd=,"소비자에게 할인 및 소득공제 혜택, 가맹점에 수수료 절감 혜택 등 제공",,,서울특별시 마포구,정보 없음,온라인신청,정보 없음,이용권,"○ 소비자 : 구입 시 5%할인, 연말정산 시 소득공제 30%   ※ 할인혜택은 시도 정책에 따라 변동될 수 있음    ○ 가맹점 : 수수료 절감, 홍보효과, 가맹점 매출증대",정보 없음,○ 만 14세 이상이면 누구든지 가능,발행일부터 선착순 구매,"○ 온라인 신청 - 스마트폰에서 ""서울페이플러스"" 앱 다운로드   - 이용동의, 본인인증, 비밀번호와 결제계좌 등록",경제진흥과 (☎02-3153-8572)
전남,무안,무안사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/495000000421?administOrgCd=,"소비자에게 할인 및 소득공제 혜택, 가맹점에 수수료 절감 혜택 등 제공",,,전라남도 무안군,정보 없음,"지역농협, 새마을금고, 신협 등 42개소","지역농협, 새마을금고, 신협 등 42개소",이용권,"○ 소비자   - 구입및 충전 시 6~10%할인, 연말정산 시 소득공제 30%, ○ 가맹점 - 지류 상품권 사용시 카드가맹점 수수료 절감, 홍보효과, 가맹점 매출증대",정보 없음,○ 만 20세 이상이면 누구든지 구매 및 발급 가능,상시신청,"○ 방문 신청   - 기타 : 무안군 소재의 농협, 새마을금고, 신협 등 42개소",지역경제과 (☎061-450-5714)
경북,영천,영천사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/510000000101?administOrgCd=,"소비자에게 할인 혜택, 가맹점에는 매출 증대 등 지원",,,경상북도 영천시,정보 없음,온라인신청,정보 없음,이용권,"○ 소비자   - 구입 충전 시 연중 10% 특별할인   ※ 할인혜택은 시도 정책에 따라 변동될 수 있음    ○ 가맹점 - 홍보효과, 가맹점 매출증대",정보 없음,○ 만 19세 이상 구매 가능,상시신청,"○ 온라인 신청(영천사랑카드)   - 한국조폐공사 앱 (지역상품권 chak)    ○ 방문 신청   - 영천사랑상품권 : 영천시 소재의 농협은행 3, 대구은행 2, 지역 농?축협 25, 새마을금고 11, 신협 2   - 영천사랑카드 : 영천시 소재의 농협은행 3, 지역농?축협 25, 새마을금고 11, 신협 2, 우체국 14",일자리노사과 (☎054-330-6240)
서울,종로,종로사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/300000000104?administOrgCd=,종로사랑상품권 구매자에게 할인 혜택 지원,,,서울특별시 종로구,정보 없음,모바일앱,정보 없음,이용권,○ 종로사랑상품권 할인 판매,정보 없음,○ 지역화폐 구매자,접수기관 별 상이,○ 기타   - 모바일 상품권 개인 구매,일자리정책과 (☎02-2148-2325)
경북,고령,고령사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/520000000120?administOrgCd=,"소비자에게 할인 및 소득공제 혜택, 가맹점에 수수료 절감 혜택 등 제공",,,경상북도 고령군,정보 없음,고령군 소재의 금융기관 19개소,고령군 소재의 금융기관 19개소,기타,"○ 소비자   - 구입시 10% 할인(지류, 제로페이,고령사랑카드)   ※ 적립 및 할인혜택은 예산 소진시에 변동 가능    ○ 가맹점 - 카드가맹점 수수료 절감, 홍보효과, 가맹점 매출증대",정보 없음,"○ 지류의 경우 미성년자 구입 불가능  ○ 카드, 제로페이의 경우 만 14세 이상 가능",상시신청,"○ 온라인 신청   - 제로페이(모바일) : ‘체크페이’,‘비플제로페이’등 23개 어플앱(APP)에서 구매 가능   - 카드형 : 지역상품권 chak 앱 설치 및 회원가입후 상품권 충전 ○ 방문 신청   - 기타 : 고령군 소재의 금융기관 19개소 (지류상품권)",고령군청 지역경제과 (☎054-950-6563)
충남,논산,논산사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/454000000168?administOrgCd=,논산사랑상품권 발행으로 지역경제 활성화 기여,,,충청남도 논산시,정보 없음,"관내 판매대행점 및 지역상품권 CHAK 앱,주민센터,시·군·구청","관내 판매대행점 및 지역상품권 CHAK 앱,주민센터,시·군·구청",이용권,"○ 모바일 또는 카드형 논산사랑상품권 구매 시 10% 할인  ○ 지류형 논산사랑상품권 구매 시 5% 할인  ○ 1인 구매한도 월 70만원(지류 최대 30만원)  ○ 1인 보유한도 150만원(모바일, 카드에 한함)",정보 없음,○ 논산사랑상품권을 사용하는 이용자 및 가맹점주,상시신청,"○ 가맹점 등록 및 해지 - 논산시청 지역경제과 또는 해당 읍면동사무소 방문신청  - 가맹점 등록 신청서, 사업자등록증, 계좌사본 등   ○ 이용자 회원가입  - 모바일 신청 : 지역상품권 CHAK 앱  - 방문 신청 : 관내 판매대행점 61개소(NH농협, 농축협, 산림조합, 새마을금고, 신협, 우체국본점)",지역경제과 (☎041-746-6015)
경기,포천,포천사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/560000000108?administOrgCd=,"소비자에게 할인 및 소득공제 혜택, 가맹점에 수수료 절감 혜택 등 제공",,,경기도 포천시,정보 없음,"주민센터,시·군·구청","주민센터,시·군·구청",이용권,"○ 소비자  - 상품권 구입 충전 시 6~10%할인 및 추가 지급, 연말정산 시 소득공제가능, 가맹점 제공 추가 할인 혜택, 경기도 소비지원금 지원 수혜   ※ 할인혜택은 시도 정책에 따라 변동될 수 있음    ○ 가맹점 - 카드가맹점 수수료 절감, 홍보효과, 가맹점 매출증대",정보 없음,○ 만 14세 이상이면 누구든지 발급 가능,상시신청,"<개인(소비자)>  ○ 카드형(온라인 신청):스마트폰에서 경기지역화폐 앱을 다운로드 한 후, 회원가입 진행 절차에 따라 '카드신청' 및 '개인정보 등록' 후 충전 사용  ○ 지류형: 포천 관내 농협 방문하여 구매 가능    <사업장 대표>  ○ 온라인: 스마트폰 경기지역화폐 앱 내 ""경기지역화폐 가맹점 신청하기"" 클릭 -> 사업자등록증, 농축협통장사본(지류형신청) 업로드  ○ 오프라인: 사업자등록증 및 농축협통장사본(지류형신청) 지참하여 읍면동 주민센터 방문 또는 시청 일자리경제과 방문",일자리경제과 (☎031-538-3200)
충남,예산,예산사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/461000000106?administOrgCd=,예산사랑상품권 구매자에게 할인 혜택 지원,,,충청남도 예산군,○ 구입방법 (종이형) 신분증 지참 후 NH농협은행 예산군지부 외 32개소 방문    (모바일형) 본인명의 휴대폰 및 신분증 지참하여 예산군지부 외 44개소 방문 구매 또는 스마트폰에서 ‘지역사랑상품권 chak(착)’앱 설치 및 회원가입 후 구매,관내 금융기관 판매대행점 33개소,관내 금융기관 판매대행점 33개소,이용권,○ 신분증 지참자 대상 정기적 상품권 할인행사를 통해 할인된 금액의 지류형 및 모바일형 상품권 제공,정보 없음,○ 전국민,접수기관 별 상이,○ 방문 신청   - 기타 : 관내 금융기관 판매대행점 33개소,경제과 (☎041-339-7253)
서울,중랑,중랑사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/306000000107?administOrgCd=,지역 소상공인 및 주민 등을 위한 지역사랑상품권 혜택 지원,,,서울특별시 중랑구,정보 없음,온라인신청,정보 없음,이용권,○ 지역사랑상품권 발행으로 인한 지역경제 활성화 제공,정보 없음,"○ 지역 소상공인, 지역 주민 등",상시신청,○ 온라인 신청   - 모바일에서 직접 구매,기업지원과 (☎02-2094-1293)
경북,문경,문경사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/512000000132?administOrgCd=,"소비자에게 할인 및 소득공제 혜택, 가맹점에 수수료 절감 혜택 등 제공",,,경상북도 문경시,정보 없음,문경사랑상품권 판매대행점,문경사랑상품권 판매대행점,이용권,"○ 소비자   - 구입 충전 시 6%(상시할인율)   10%(특별할인율) - 연말정산 시 소득공제    ○ 가맹점 - 모바일 가맹점 수수료 절감, 홍보효과, 가맹점 매출증대",정보 없음,○ 만19세이상 개인(법입·단체 할인없이 구매 가능),상시신청,"○ 온라인 신청   - 모바일앱(지역상품권(chak))에서 신청    ○ 방문 신청   - 기타 : 문경시 소재 문경사랑상품권 판매대행점(관내 농축협, 새마을금고, 대구은행, 우체국)",일자리경제과 (☎054-550-6484)
전남,완도,완도사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/499000000117?administOrgCd=,완도군민에게 완도사랑상품권 10% 할인구매 혜택 지원,,,전라남도 완도군,○ 신분증 또는 ○ 본인인증 가능한 휴대폰이나 카드,정보 없음,"주민센터,시·군·구청",이용권,○ 지류형 및 카드형 발행으로 개인당 월 50만원( 연 500만원) 구매 가능(상시 10%할인- 할인율 변동가능 있음),정보 없음,○ 만19세 이상 완도군민  ○ 지류형 - 가맹점주 구매 불가 / 카드형 - 가맹점주 카드 발급 및 구매 가능,상시신청,○ 방문 신청   - 기타 : 판매대행점 35개소(우체국을 제외한 금융기관)에서 구매가능,완도군청 경제교통과 (☎061-550-5551)완도군청 경제교통과 (☎061-550-5553)
충북,청주,청주사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/571000000134?administOrgCd=,청주페이 사용(결제) 시 지정 한도 내 인센티브 지원,,,충청북도 청주시,정보 없음,"지정 금융기관(농협5, 신협25)","지정 금융기관(농협5, 신협25)",이용권,○ 본인명의의 은행계좌를 가진 만 14세 이상 누구나 청주페이 발급 가능  ○ 청주페이 사용(결제) 시 지정 한도 내 인센티브 지원   ※ 예산소진 시 인센티브 제공은 종료됩니다.,정보 없음,○ 본인명의의 은행계좌를 가진 만14세이상 누구나,상시신청,"○ 온라인 신청 - 청주페이 APP설치 후 발급 및 배송신청    ○ 방문 신청   - 기타 : 지정 금융기관(30개소/농협5,신협25) 방문 후 현금구매",청주시 경제일자리과 (☎043-201-1024)
서울,양천,양천사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/314000000117?administOrgCd=,양천사랑상품권 구매자에게 할인 혜택 지원,,,서울특별시 양천구,정보 없음,모바일(서울페이+ 구매결제앱),정보 없음,이용권,○ 상품권 구매시 할인율 적용 혜택,정보 없음,○ 상품권 구매 구민,상시신청,모바일(서울페이+ 구매결제앱),일자리경제과 (☎0226204825)
서울,강동,강동사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/324000000101?administOrgCd=,"소비자에게 할인 및 소득공제 혜택, 가맹점에 수수료 절감 혜택 등 제공",,,서울특별시 강동구,정보 없음,앱을 통한 신청,정보 없음,이용권,"○ 소비자   - 구입 충전 시 할인 5%, 연말정산 시 소득공제 30%    ○ 가맹점 - 카드가맹점 수수료 절감, 홍보효과, 가맹점 매출증대",정보 없음,○ 만 14세 이상의 은행과 금융거래가 가능한 본인 명의의 스마트폰 소지자,상품권 할인발행시 구매 가능(명절 전),○ 구매전용 앱인 서울페이플러스 앱을 통한 모바일 상품권 구매,지역경제과 (☎02-3425-8724)
강원,홍천,홍천사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/425000000651?administOrgCd=,"소비자에게는 할인 및 소득공제 혜택, 가맹점에는 홍보 및 매출 증대 등 지원",,,강원특별자치도 홍천군,정보 없음,"카드형인 경우 홍천군 관내 농협, 새마을금고, 신협을 방문해 접수, 지류형인 경우 홍천군 관내 농협, 새마을금고, 신협, 축협, 산림조합을 방문해 접수","카드형인 경우 홍천군 관내 농협, 새마을금고, 신협을 방문해 접수, 지류형인 경우 홍천군 관내 농협, 새마을금고, 신협, 축협, 산림조합을 방문해 접수",이용권,"○ 소비자   - 개인 구입 시 10%할인, 홍천사랑카드로 결제 시 연말정산 소득공제 30%    ○ 가맹점 - 홍보 효과, 매출 증대",정보 없음,"○ 카드형   - 만 14세 이상이면 누구든지 발급 가능, 만 19세 이상 충전 가능    ○ 지류형   - 만 19세 이상이면 누구든지 구매 가능",상시신청,"○ 온라인 신청 (카드형)   - 스마트폰에서 '지역상품권 chak'앱을 다운로드 한 후, 회원가입 진행 - 절차에 따라 홍천사랑카드 발급 및 충전 가능    ○ 방문 신청   - 기타 : 홍천군 관내 농협, 새마을금고, 신협을 방문해 홍천사랑카드 발급 및 충전 가능 (카드형)   - 기타 : 홍천군 관내 농협, 새마을금고, 신협, 축협, 산림조합을 방문해 홍천사랑상품권 구입 가능 (지류형)",홍천군청 경제진흥국 경제진흥과 (☎033-430-2807)
서울,관악,관악사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/320000000108?administOrgCd=,관악사랑상품권 및 소비자를 위해 할인 혜택 지원,,,서울특별시 관악구,정보 없음,모바일 앱,정보 없음,이용권,○ 관악구 관악사랑상품권 가맹점에서 사용 가능한 모바일 지역화폐   - 구매시 할인 지원,정보 없음,"○ 관악사랑상품권 가맹점, 소비자",상시신청,○ 모바일 앱을 통한 구매,지역상권활성화과 (☎02-879-5746)
서울,용산,용산사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/302000000106?administOrgCd=,"소비자에게 할인 및 소득공제 혜택, 가맹점에 수수료 절감 혜택 등 제공",,,서울특별시 용산구,정보 없음,시·군·구청,정보 없음,이용권,"○ 소비자   - 구입 시 5%~10%할인, 연말정산 시 소득공제 30%   ※ 할인율은 발행시기에 따라 변동될 수 있음 ○ 가맹점 - 가맹점 수수료 절감, 홍보 효과, 가맹점 매출 증대",정보 없음,○ 만 14세 이상이면 누구든지 구매 가능,상시신청,서울페이플러스 결제 앱,지역경제과 (☎02-2199-6785)
충북,음성,음성행복페이,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/447000000112?administOrgCd=,음성행복페이 사용자에게 캐시백 인센티브 지원,,,충청북도 음성군,정보 없음,"모바일 앱,시·군·구청","모바일 앱,시·군·구청",이용권,"○ 음성행복페이로 결제 시 결제액의 10% 캐시백 인센티브 지원   - 상시 30만원, 연 360만원 한도",정보 없음,○ 음성행복페이 사용자(전국민),상시신청,○ 방문 신청 또는 모바일 앱(그리고),음성군청 일자리경제과 (☎043-871-3613)
전북,남원,남원사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/470000000117?administOrgCd=,남원사랑상품권 구매자에게 10% 할인 혜택 지원,,,전북특별자치도 남원시,정보 없음,판매대행 금융기관 또는 모바일,판매대행 금융기관 또는 모바일,기타,○ 남원사랑상품권 10% 할인판매,정보 없음,○ 일반시민,상시신청,"○ 지류형 : 금융기관 판매대행점(농협시지부, 우체국, 전북은행, 단위농협, 새마을금고, 온누리신협)  ○ 카드형 : 금융기관 판매대행점 또는 모바일폰  ○ 모바일형 : 모바일폰",남원시청 일자리경제과 (☎063-620-6345)
강원,동해,동해사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/421000000638?administOrgCd=,"소비자에게 할인 및 소득공제 혜택, 가맹점에 수수료 절감 혜택 등 제공",,,강원특별자치도 동해시,정보 없음,관내 판매대행점,관내 판매대행점,이용권,"○ 소비자 : 충전후 사용시 최대 6% 캐시백 지급, 연말정산 시 소득공제    ○ 가맹점 : 카드가맹점 수수료 절감, 홍보효과, 가맹점 매출증대",정보 없음,○ 만 14세 이상 누구든지 발급 가능,상시신청,○ 온라인 신청 - 스마트폰에서 '그리고'앱 다운로드 후 회원가입 및 신청    ○ 방문 신청  - 기타 : 관내 판매대행점 방문하여 신청,동해시 경제과 (☎033-530-2161)
서울,동작,동작사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/319000000114?administOrgCd=,동작사랑상품권 구매자에게 할인 혜택 지원,,,서울특별시 동작구,정보 없음,동작구청 경제정책과,정보 없음,이용권,○ 할인판매된 동작사랑상품권의 할인비용 보전,정보 없음,○ 할인된 비용으로 상품권을 구매하는 간접 혜택,동작사랑상품권 발행시기에 따라 상이,"○ 동작사랑상품권 구매 시 자동 연계되며, 개인별 별도 신청절차 없음   (비즈플레이컨소시엄 → 동작구청 경제정책과로 구매정보 전달, 주민 개별신청 없음)",경제정책과 (☎02-820-1366)
서울,강서,서울강서사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/315000000105?administOrgCd=,"소비자에게 할인 및 소득공제 혜택, 가맹점에 수수료 절감 혜택 등 제공",,,서울특별시 강서구,정보 없음,모바일웹,정보 없음,이용권,"○ 소비자   - 구입 충전 시 5% 할인, 연말정산 시 소득공제 30%   ※ 할인혜택은 시도 정책에 따라 변동될 수 있음    ○ 가맹점 - 상품권가맹점 수수료 절감, 홍보효과, 가맹점 매출증대",정보 없음,○ 만 14세 이상이면 누구든지 구입 가능,상시신청,○ 신청방법   - 기타 : 상품권 구매 및 결제앱(서울페이+) 활용,지역경제과 (☎02-2600-6367)
전북,익산,익산사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/468000000129?administOrgCd=,익산사랑상품권 구매자에게 10% 인센티브 지급,,,전북특별자치도 익산시,정보 없음,은행,은행,이용권,○ 구매(충전) 인센티브 10% (월 70만원까지)   - 연말정산시 사용금액의 30% 소득공제 혜택,정보 없음,○ 만 14세 이상 누구나(본인명의 은행계좌 및 휴대전화 소지자),상시신청,○ 온라인 신청 - 모바일 앱    ○ 방문 신청 - 기타 : 은행,소상공인과 (☎063-859-5324)
서울,도봉,도봉사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/309000000141?administOrgCd=,도봉사랑상품권 구매자에게 5% 할인 판매 혜택 지원,,,서울특별시 도봉구,정보 없음,모바일 신청,정보 없음,이용권,○ 도봉사랑 (모바일)상품권 할인 판매   - 할인율: 5%(변동가능)   - 보유한도: 1인당 150만원   - 사용처: 도봉구 관내 서울페이 가맹점   ※ 대형마트 등 대규모점포와 일부 유흥업소 사용불가   - 유의사항: 발행액 소진 시 판매 종료,정보 없음,○ 상품권 구매자,상시신청,○ 모바일 신청 - 모바일 앱 설치 후 구매 및 결제   ※ 2024년 4월 22일부터 1개 앱(서울Pay+)에서 상품권 구매 및 결제가 가능합니다.,지역경제과 (☎02-2091-2893)
경북,봉화,봉화사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/524000000134?administOrgCd=,"소비자에게 할인 혜택, 가맹점에는 매출 증대 등 지원",,,경상북도 봉화군,정보 없음,"봉화군 금융기관(농협, 축협,새마을금고,산림조합)","봉화군 금융기관(농협, 축협,새마을금고,산림조합)",이용권,○ 소비자   - 구입 충전 시 10% 할인(예산 소진시까지)    ○ 가맹점   - 가맹점 매출 증대,정보 없음,○ 만 14세 이상이면 누구든지 구입 충전 가능,상시신청,"○ 온라인 신청 (모바일 카드형)     - 스마트폰에서 ""지역상품권 chak""설치 후 , 회원가입 진행 - 절차에 따라 '카드신청' 및 '개인정보 등록'   - 상품권 충전 후 사용      ○ 방문 신청 (오프라인 카드형)     - 스마트폰에서 ""지역상품권 chak""설치 후, 회원가입 - '농협, 축협' 창구 방문 후 카드 신청 - 충전 후 사용   - 농협, 축협, 새마을금고 등 은행 방문 후 상품권 구입 (지류형)",새마을경제과 (☎054-679-6253)
전북,김제,김제사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/471000000125?administOrgCd=,김제사랑상품권 구매자에게 10% 할인 혜택 지원,,,전북특별자치도 김제시,정보 없음,판매대행점,판매대행점,이용권,○ 김제사랑상품권 구매시 10% 할인,정보 없음,○ 김제사랑상품권 구매자,상시신청,○ 방문 신청   - 기타 : 판매대행점 또는 고향사랑페이앱,경제진흥과 (☎063-540-3993)
전북,부안,부안사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/479000000117?administOrgCd=,부안사랑상품권 구매자에게 5~10% 할인 혜택 지원,,,전북특별자치도 부안군,정보 없음,판매대행점,판매대행점,이용권,○ 부안사랑상품권 할인 구입   - 상시할인 5% 또는 특별할인 10%,정보 없음,○ 전 국민,상시신청,○ 방문 신청   - 기타 : 판매대행점 또는 APP 활용,지역경제과 (☎063-580-4116)
서울,강북,강북사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/308000000127?administOrgCd=,강북구 소상공인 및 강북구민을 위한 5% 할인 판매 지원,,,서울특별시 강북구,정보 없음,정보 없음,정보 없음,이용권,○ 강북구 내 서울페이(제로페이) 가맹점에서 이용할 수 있는 상품권을 5% 할인 지원하여 판매 ※ 발행액 소진 시 판매 종료,정보 없음,○ 강북구 소상공인 및 강북구민,상시신청,○ 신청 : 서울페이 결제앱,지역경제과 (☎02-901-6445)
경북,예천,예천사랑상품권,https://www.gov.kr//portal/rcvfvrSvc/dtlEx/523000000189?administOrgCd=,"소비자에게 할인 혜택, 가맹점에는 매출 증대 등 지원",,,경상북도 예천군,정보 없음,판매대행점,판매대행점,이용권,"○ 소비자   - 구입 시 10%할인    ○ 가맹점 - 카드가맹점 수수료 절감, 홍보효과, 가맹점 매출증대",정보 없음,○ 만 19세 이상 상품권 구매자 ○ 관내 소상공인,상시신청,"○ 온라인 신청(모바일) 1. 스마트폰에서 지역상품권앱을 다운로드 한 후, 회원가입 진행  2. 절차에 따라 상품권 구매    ○ 방문 신청   - 기타 : 판매대행점 방문하여 구매",지역경제과 (☎054-650-6096)
